"artists","total_count"
"NTO",4
"NTO;Monolink",4
"NTO;Paul Kalkbrenner",4
"Nacho;Jeeiph",4
"Nacho;Los Mendoza",4
"Nacho;Manuel Turizo",4
"Nacho;Nicky Jam",4
"Nacho;Noriel",4
"Nacho;Ozuna",4
"Nacho;Wisin;Noriel",4
"Nacho;Yandel;Bad Bunny;Mambo Kingz;DJ Luian",4
"Nacho;Yandel;Zion;Justin Quiles;Elkeretumba",4
"Natti Natasha;Becky G",4
"Neon Trees",4
"Nick Drake",4
"Nicky Jam;Enrique Iglesias",4
"Nicky Jam;J Balvin",4
"Nicky Romero;Norma Jean Martine",4
"Nightmares On Wax",4
"Nils Hoffmann",4
"Nirvana",4
"Novo Amor",4
"Nucleya",4
"Nucleya;2jaym;Sublahshini",4
"Nucleya;Avneet Khurmi",4
"Nucleya;Avneet Khurmi;Guri Gangsta",4
"Nucleya;Benny Dayal;Badshah",4
"Nucleya;Gagan Mudgal",4
"Nucleya;Julius Sylvest;Gagan Mudgal",4
"O Rappa;Maria Rita / 1134893",4
"OAFF;Savera;Lothika;Kausar Munir",4
"Official HIGE DANdism",4
"Oliver Schories",4
"Os Paralamas Do Sucesso;Pitty",4
"Osho Jain",4
"Osho Jain;Melissa Srivastava",4
"Osho Jain;Sanchi",4
"Ozuna",4
"Ozuna;Chencho Corleone;Arcangel;J Balvin;Randy",4
"Ozuna;Danny Ocean",4
"Ozuna;Doja Cat;Sia",4
"Ozuna;El Cherry Scom",4
"Ozuna;Feid",4
"Ozuna;Nesi",4
"Ozuna;Pedro Capó",4
"Ozuna;TINI",4
"Ozuna;Tokischa;Louchie Lou;Michie One",4
"P.O.D.",4
"Paolo Nutini",4
"Papas Da Língua",4
"Pato Fu",4
"Phosphorescent",4
"Piyush Bhisekar",4
"Planet Hemp",4
"Plebe Rude",4
"Prabh Deep",4
"Prabh Deep;Seedhe Maut;Sez on the Beat",4
"Promo",4
"Promo;G-Shock",4
"QUEEN BEE",4
"R.K.M & Ken-Y",4
"R3HAB;A Touch Of Class",4
"R3HAB;HRVY",4
"RAC;Louis The Child",4
"Radiohead",4
"Rage Against The Machine",4
"Raghav Meattle",4
"Raghu Dixit",4
"Ramil Ganjoo",4
"Rammstein",4
"Rantanplan",4
"Ray Charles",4
"Riff",4
"Ritviz;Karan Kanchan",4
"Ritviz;Seedhe Maut",4
"Robin Schulz;Alida",4
"Robin Schulz;Tom Walker",4
"Rodox",4
"Rone",4
"Royal & the Serpent",4
"Royal & the Serpent;Chri$tian Gate$",4
"Rvssian;Rauw Alejandro;Chris Brown",4
"SCANDAL",4
"SLANDER;Dylan Matthew",4
"Salim–Sulaiman;Rahat Fateh Ali Khan;Jaideep Sahni",4
"Samar Mehdi",4
"Samiam",4
"Sara Kays",4
"Scooter",4
"Scorpions",4
"Seven Lions;Blastoyz;Fiora",4
"Seven Lions;ILLENIUM;Said The Sky;HALIENE",4
"Seven Lions;SLANDER;Dabin;Dylan Matthew",4
"SiM",4
"Siouxsie and the Banshees",4
"Skank",4
"Skay Beilinson",4
"Skillet",4
"Slayer",4
"Smitten",4
"Soda Stereo",4
"Solomun",4
"Staind",4
"Static-X",4
"Steely Dan",4
"Stephan Bodzin;Mathew Jonson",4
"Steve Winwood",4
"Sturgill Simpson",4
"Survive Said The Prophet",4
"Suzonn",4
"Swedish House Mafia",4
"Swedish House Mafia;Connie Constance",4
"Swedish House Mafia;John Martin",4
"Swedish House Mafia;Knife Party",4
"Swedish House Mafia;Sting",4
"Swedish House Mafia;Ty Dolla $ign;070 Shake",4
"Swingin' Utters",4
"THE ORAL CIGARETTES",4
"TK from Ling tosite sigure",4
"Taba Chake",4
"Tainy;Alvaro Diaz;Feid",4
"Tainy;Anuel AA;Ozuna",4
"Tainy;J Balvin",4
"Taj Mahal",4
"Tale Of Us;Kiasmos",4
"Tale Of Us;Pete Tong;Jules Buckley",4
"Talking Heads",4
"Tanju Okan",4
"Tanmaya Bhatnagar",4
"Ten Years After",4
"Testament",4
"The Animals",4
"The Bangles",4
"The Black Crowes",4
"The Chainsmokers",4
"The Chainsmokers;5 Seconds of Summer",4
"The Chainsmokers;Bebe Rexha",4
"The Chainsmokers;Daya",4
"The Chainsmokers;ILLENIUM;Lennon Stella",4
"The Chainsmokers;Kelsea Ballerini",4
"The Chainsmokers;Phoebe Ryan",4
"The Chemical Brothers",4
"The Drifters",4
"The Jon Spencer Blues Explosion",4
"The Killers",4
"The Killers;Ryan Pardey",4
"The Killers;Toni Halliday",4
"The King Khan & BBQ Show",4
"The Knocks;Dragonette",4
"The Knocks;Rivers Cuomo;Royal & the Serpent",4
"The Little Willies",4
"The Monkees",4
"The Neighbourhood",4
"The Phantoms",4
"The Pretty Things",4
"The Prodigy",4
"The Prodigy;RZA;René LaVice",4
"The Smithereens",4
"The Strokes",4
"The Strumbellas",4
"The Troggs",4
"The Velvet Underground",4
"The Who",4
"The Yellow Diary",4
"Therion",4
"Thousand Foot Krutch",4
